Issue ID	Type	Area	Title	Assigned To	Priority	Status	Milestone
965	Todo	Skyline	Add command arg to SkylineRunner.exe to run any instance of Skyline by path	guest	3	closed	23.2
964	Defect	Skyline	Feature Request - Surrogate calibration curves	guest	3	closed	
963	Defect	Skyline	Feature Request - Remove Replicate/Result from Chromatogram or Replicate Right-click menu	guest	3	closed	
962	Defect	Skyline	Find CCS values for targets not found in an IMSDB library without changing existing values	guest	3	closed	
961	Todo	Skyline	Show units for pressure traces in Skyline chromatograms and enable Panorama to do the same	guest	3	closed	23.2
960	Defect	Skyline	"Chinese language update:  ""Centroided"" in the drop down list can be translated as 中心对称的"	guest	2	closed	23.1
959	Todo	Skyline	Improve error message for BlibBuild failures	guest	2	closed	23.1
958	Defect	Skyline	"add the Skyline version to the ""More Info"" text in alert dialogs"	guest	3	closed	
957	Todo	Skyline	Duplicated collision energy settings for SCIEX instruments	guest	3	closed	
956	Defect	Skyline	Support for importing results from the Sage search engine	guest	3	closed	
955	Defect	Skyline	"""Associate Proteins"" should not remove unmapped peptides from the document."	guest	2	closed	23.1
954	Defect	Skyline	some interesting small molecule transition list weirdness	guest	3	closed	
953	Defect	Skyline	add a code inspection test to check that the start page Tutorials tab uses the same links as the Tutorials tests	guest	3	closed	
952	Todo	Skyline	Strategies for reducing ExceptionWeb reports for already-solved issues	guest	3	closed	
951	Defect	Skyline	Spectral Library ion mobility values don't work intuitively in document grid and method export	guest	3	closed	
950	Todo	Skyline	"Investigate more efficient sorting of three-array IMS scans - possibly the locally sorted  ""sawtooth"" nature of the mz could be exploited"	guest	3	closed	
949	Defect	Skyline	"Peak Areas > Peptide Comparison view should not show a ""heavy"" pane with nothing in it"	guest	3	closed	23.1
948	Todo	Skyline	Make Import Assay Library work for small molecules	guest	3	closed	
947	Defect	Skyline	IMS spectrum viewer less reliable than it used to be	guest	2	closed	22.2
946	Todo	Skyline	Renaming a molecule in small molecules breaks associations	guest	2	closed	
945	Todo	Skyline	Add a splitter to Unique Peptides form	guest	3	closed	
944	Defect	Skyline	Peak area plotting still deceiving when transforms are applied to the chromatograms	guest	3	closed	
